Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_MPD_BH-18650-PC2,1,Li-Ion 18650,
"C1, C12, C14, C15, C18, C2, C21, C27, C29, C3, C34, C36, C38, C39, C4, C43, C44, C45, C46, C47, C5, C58, C6, C60, C62, C63, C65, C66, C67, C68, C69, C7, C70, C8, C9",0603,35,100n,C14663
"C10, C11",0603,2,2u2,C23630
"C13, C19, C23, C40, C56, C57",0603,6,1u,C15849
"C16, C17, C20, C22, C24",0603,5,4u7,C19666
"C25, C26, C28, C30",0603,4,10n,C57112
C31,0402,1,1n,C1523
"C32, C33, C35",0603,3,22u,C59461
"C37, C41, C42, C52, C59, C61, C64",0805,7,10u,C15850
C48,0603,1,2n2,C1604
C49,0603,1,220n,C21120
"D1, D4",0603,2,LED_GREEN,C72043
"D2, D3",0603,2,LED_RED,C2286
D5,D_SOD-123,1,B5819W,C8598
"D6, D7, D8",0603,3,LED_YELLOW,C72038
"FB1, FB2, FB3, FB4",0805,4,GZ2012D101TF,C1015
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,918-418K2023S40001,C167321
J8,SMA_Amphenol_901-143_Horizontal,1,"SMA6252A2-3GT50G-50
",
J9,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,C114218
L1,L_Chilisin_BMRA00040420,1,470n,C280580
"Q1, Q2",SOT-23,2,S8050,C2146
"R1, R10, R11, R12, R16, R17, R2, R23, R25, R3, R4, R41, R46, R5, R6, R71, R72, R73, R74, R76, R77, R78, R79, R80, R81, R82, R9",0603,27,10K,C25804
"R13, R14, R15, R29, R30, R31, R33, R35, R53, R54, R55",0603,11,100K,C25803
"R18, R19, R22, R83, R84, R85",0603,6,1K8,C4177
R20,0603,1,27K,C22967
R21,0603,1,33K,C4216
R24,0603,1,30K,C22984
R26,0603,1,1K,C21190
"R27, R28",0603,2,5K1,C23186
"R32, R44, R45",0603,3,12K,C22790
"R34, R38, R42, R43",0603,4,470R,C23179
R36,0603,1,68K,C23231
R37,0603,1,15K,C22809
"R39, R40, R47, R48, R49, R50, R51, R52, R56, R57, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R8",0603,24,33R,C23140
R58,0603,1,10R,C22859
"RESET1, RESET2",SW_SPST_TL3342,2,SW_SPST,C318884
SW1,TE_A101SYCQ04,1,MT-102,
"SW2, SW3, SW4, SW5",SW_PUSH_6mm_H13mm,4,SW_SPST,
"TP1, TP2, TP3, TP5",TestPoint_THTPad_D1.5mm_Drill0.7mm,4,TestPoint,
U1,LQFP-100_14x14mm_P0.5mm,1,STM32F446VETx,C91929
U10,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,C2838502
U11,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U12,LGA-12_2x2mm_P0.5mm,1,LSM303AGR,C126671
U14,ADIS16505-PCBZ,1,ADIS16505-x/PCBZ,
U15,SOT-23-3,1,XC6206P332MR,C5446
U16,ublox_NEO,1,NEO-M8U,
U17,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,XT25F256BWSIGT,C2759959
U18,Display_128x64_096_I2C,1,OLED_I2C,
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TVS0500DRV,C609571
U3,VSSOP-8_2.3x2mm_P0.5mm,1,74LVC2G02,C489242
U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,C15464
U5,SOT-666,1,USBLC6-2P6,C15999
U6,SOT-89-3,1,HT7533-1,C14289
U7,Texas_VSON-HR-8_1.5x2mm_P0.5mm,1,TPS62823DLC,C2693497
U8,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,1,USB2514B-AEZC-TR,C16251
U9,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340G,C84681
"X1, X2",OSC_ECS-3963-250-BN-TR,2,SX5M24.000M20F30TNN,C2901533
