Designator,Mid X,Mid Y,Rotation,Layer
BT1,89.6,-96.6,90.0,top
C1,48.768,-56.769,225.0,top
C10,65.024,-51.181,315.0,top
C11,58.674,-35.814,45.0,top
C12,44.069,-52.197,225.0,top
C13,69.4,-97.339,270.0,top
C14,58.039,-74.168,0.0,top
C15,61.849,-74.168,0.0,top
C16,67.564,-91.306,90.0,top
C17,75.0,-91.939,0.0,top
C18,78.3,-97.739,270.0,top
C19,73.787,-79.121,180.0,top
C2,49.911,-57.912,225.0,top
C20,28.9,-84.3,180.0,top
C21,30.988,-93.599,0.0,top
C22,26.6,-85.3,90.0,top
C23,76.962,-79.121,0.0,top
C24,73.66,-68.326,180.0,top
C25,25.0,-85.3,90.0,top
C26,28.6,-90.9,0.0,top
C27,22.9,-96.9,270.0,top
C28,26.1,-96.9,270.0,top
C29,23.0,-85.3,90.0,top
C3,58.166,-58.039,315.0,top
C30,18.7,-95.8,180.0,top
C31,69.215,-63.119,90.0,top
C32,72.263,-65.786,270.0,top
C33,70.612,-65.786,270.0,top
C34,18.5,-88.2,90.0,top
C35,65.151,-66.294,270.0,top
C36,20.2,-85.9,180.0,top
C37,22.225,-72.266,270.0,top
C38,28.067,-80.075,270.0,top
C39,8.312,-72.714,180.0,top
C4,66.167,-50.038,315.0,top
C40,10.471,-75.127,0.0,top
C41,6.915,-74.619,180.0,top
C42,39.878,-31.242,270.0,top
C43,33.032,-37.166,90.0,top
C44,38.1,-30.988,270.0,top
C45,28.194,-41.656,270.0,top
C46,38.6925,-28.416,0.0,top
C47,30.099,-41.656,270.0,top
C48,31.254,-33.61,0.0,top
C49,35.814,-32.893,0.0,top
C5,57.15,-35.052,45.0,top
C52,17.018,-34.29,180.0,top
C56,45.466,-2.032,180.0,top
C57,45.466,-7.62,0.0,top
C58,47.244,-28.969,270.0,top
C59,44.704,-9.906,0.0,top
C6,42.545,-43.815,135.0,top
C60,49.022,-28.956,270.0,top
C61,51.054,-29.21,270.0,top
C62,71.374,-6.858,270.0,top
C63,70.866,-40.005,270.0,top
C64,68.961,-40.259,270.0,top
C65,62.484,-20.32,270.0,top
C66,47.371,-67.31,180.0,top
