X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-966601,-15,938911,14,189931,2,10925178,166,-40499105,-618,259272705,3956,0
-832541,-13,1216970,18,392827,-8,10986947,167,-40904955,-625,259208496,3955,0
-831568,-14,803003,12,-761489,-12,11028731,168,-40665372,-621,259203989,3955,0
-699474,-11,605095,9,-285483,-5,11262324,171,-40808745,-623,259383238,3957,0
-568384,-9,873484,13,-422878,-7,11311667,172,-40662682,-621,259511170,3958,0
-766011,-12,1006968,15,-558660,-9,11089590,169,-40808405,-623,259435306,3958,0
-1093274,-17,740611,11,-148590,-3,11091710,169,-40872298,-624,259101127,3953,0
-1027648,-16,805189,12,-489042,-8,10999671,169,-40640251,-621,259150168,3954,0
-1093588,-17,807614,12,-285050,-5,10962379,167,-40945368,-625,259140753,3954,0
-960980,-15,401629,6,-419857,-7,11051605,168,-40827374,-623,259217043,3955,0
-895058,-14,330345,6,-828527,-13,10877813,165,-40924887,-625,259188779,3954,0
-830092,-13,470874,7,-216556,-4,10994354,167,-41067834,-627,259283299,3956,0
-699634,-11,674246,10,-355100,-6,10966914,167,-41048391,-627,259434199,3958,0
-634391,-10,806160,12,-422414,-7,10978887,167,-40913141,-627,259318959,3956,0
-831445,-13,942431,14,-87136,-2,11010375,168,-41305239,-631,259420614,3958,0
-700415,-11,943082,14,-150667,-3,11024265,168,-40975967,-626,259676523,3962,0
-766025,-12,943558,14,-82442,-3,11127971,169,-41175301,-629,259440971,3958,0
-699820,-11,672503,10,-285719,-5,11011598,168,-41151255,-628,259660534,3962,0
-766045,-12,1008100,15,-422665,-6,11174370,170,-40784992,-623,259645900,3961,0
-570267,-10,1073351,16,-695347,-11,11156193,170,-41187620,-629,259244220,3955,0
-568424,-9,734303,11,-966386,-15,11081252,169,-40853943,-624,259641740,3961,0
-633962,-10,675206,10,54497,0,11218652,171,-40821835,-623,259649535,3959,0
-634391,-10,804960,12,-558409,-9,11076103,169,-41261060,-630,259480172,3959,0
-502946,-8,671118,10,-557709,-9,11201435,170,-41004622,-626,259505404,3959,0
-765105,-12,606130,9,-149259,-3,11242590,173,-40992149,-626,259278497,3956,0
-700054,-11,743801,13,-489506,-8,11265598,171,-40955148,-625,259298890,3956,0
-1093860,-17,1008334,15,-353526,-6,11346201,173,-41072420,-627,259119523,3953,0
-963175,-15,1144954,15,-422208,-7,11228845,171,-41007703,-626,259219183,3955,0
-896204,-14,670564,10,-489026,-8,11309720,172,-41192479,-629,259364652,3957,0
-699770,-11,675311,10,-286191,-5,11309274,172,-41118118,-628,259246127,3955,0
-437555,-7,738392,11,-490859,-8,11333515,172,-41142789,-626,259453657,3958,0
-110042,-2,742088,11,178130,2,11209510,171,-40902301,-625,259382805,3957,0
-561219,-9,753397,11,-285805,-5,11231938,171,-40895731,-625,259131264,3954,0
-562277,-9,1091887,16,-82991,0,11230191,171,-40951923,-625,259572884,3960,0
-234604,-4,618360,9,-354471,-6,11423190,174,-41066203,-627,259378993,3957,0
-233730,-4,820422,12,-355179,-6,11379502,173,-40813140,-623,259382590,3957,0
-366148,-6,1089219,16,-423664,-7,11274553,172,-40788242,-623,259359161,3957,0
-233194,-4,620060,9,-150478,-3,11210543,171,-40885353,-624,259207648,3955,0
-233339,-4,1091729,16,-152585,-3,11243174,171,-40723822,-622,259594102,3956,0
-103002,-2,955299,14,-356106,-6,11273478,172,-40705568,-622,259053654,3952,0
-102081,-2,944577,14,-423420,-7,11339270,173,-40694456,-621,259288029,3956,0
-431359,-7,1158209,17,-219679,-4,11443948,173,-40891503,-624,259648439,3961,0
-365172,-6,627926,9,-286017,-5,11364248,173,-40838825,-624,259720268,3963,0
-233387,-4,686241,10,-286709,-5,11340075,173,-40891741,-624,259660216,3962,0
93484,1,958889,13,-84564,-2,11473785,175,-40659744,-621,259685309,3962,0
-103174,-2,958107,14,-16118,-1,11380489,173,-40646568,-621,259733448,3963,0
-365228,-6,955567,14,-693776,-11,11535428,176,-40685927,-621,260086377,3968,0
-494692,-8,413054,6,-692840,-11,11361662,173,-40414900,-622,259573433,3960,0
-363824,-6,418327,6,-212388,-4,11344677,173,-40577528,-620,259614599,3961,0
-36782,-1,887383,13,-424097,-7,11368565,173,-40609924,-620,259295861,3956,0
-168387,-3,887848,13,-355643,-5,11321658,172,-40357924,-616,259759056,3963,0
93701,0,890273,13,-84336,-2,11337067,172,-40533066,-619,259587144,3960,0
-299883,-5,1022417,15,-355658,-6,11352453,173,-40278284,-615,259151422,3954,0
-299481,-4,682822,10,-694696,-11,11411998,174,-40490071,-618,259062557,3958,0
-37308,-1,888553,13,-288101,-5,11611995,177,-40472546,-618,259598563,3961,0
-38182,-1,1289710,19,-629049,-10,11498042,175,-40406019,-617,259388729,3957,0
-103598,-2,1155043,17,-628805,-10,11533844,175,-40274873,-615,259170875,3954,0
-234624,-4,1024278,15,52556,0,11247944,171,-40192546,-614,259203871,3955,0
-430983,-7,957743,14,-14978,-1,11610624,177,-40409028,-617,259094587,3953,0
-431087,-7,1023423,13,-763857,-12,11663456,177,-40369596,-616,259309045,3956,0
94659,1,614589,9,-831595,-13,11465817,174,-40328192,-616,259134797,3954,0
-102098,-2,616686,9,-559620,-9,11583248,176,-40153030,-613,259231077,3955,0
-37185,-1,817610,12,-695852,-11,11741593,179,-40068751,-618,259348526,3957,0
-299222,-5,754075,11,-218720,-4,11513962,175,-40401696,-617,259309229,3956,0
159265,2,885768,13,-628774,-10,11692428,178,-40182288,-614,259317376,3956,0
28058,0,952466,14,-237799,-4,11575654,176,-39985765,-611,259192370,3954,0
-103291,-2,1158390,17,-220819,-4,11620264,177,-40080343,-612,259468701,3959,0
-431889,-7,1292243,19,-288148,-6,11474501,175,-40079291,-612,259227829,3955,0
-366127,-1,1157369,17,-357042,-6,11465781,174,-40168498,-613,259378178,3957,0
16697,0,932327,14,-697458,-11,11531353,175,-40112999,-613,259438595,3958,0
17329,0,734303,11,-220995,-4,11462391,174,-40202409,-614,259434254,3958,0
82122,1,998037,15,-901914,-14,11554754,176,-40138328,-613,259629087,3961,0
-49326,-1,872657,13,-288097,-5,11455220,174,-39994751,-611,259491169,3959,0
-244958,-4,729934,11,-695838,-11,11693272,176,-39962416,-610,259443336,3958,0
-48314,-1,730136,12,-356998,-6,11606847,177,-40263168,-615,259206998,3955,0
213272,3,933075,14,-630144,-10,11620042,177,-40292688,-615,259708239,3962,0
278479,4,1069635,13,-357690,-6,11623799,177,-40280645,-615,259500932,3959,0
-52379,-1,793071,12,-425070,-7,11745471,179,-40122213,-613,259307138,3956,0
-383798,-6,721563,11,255751,3,11494769,175,-40067728,-612,259335964,3957,0
-187166,-3,657776,10,323527,4,11632475,177,-40048301,-612,259351503,3957,0
9585,0,719669,10,-357366,-6,11575382,176,-40170187,-613,259414620,3958,0
-56336,-1,854923,13,-289613,-5,11478561,175,-40169952,-613,259160808,3954,0
-122389,-2,991294,15,-85865,1,11457338,174,-40238134,-614,259168114,3954,0
-318802,-5,318627,4,53173,0,11324450,172,-40348673,-616,259156004,3954,0
-514330,-8,583901,8,-423069,-7,11554595,176,-40226642,-614,259275242,3956,0
-254324,-1,1388168,21,-971475,-15,11378088,173,-40051451,-612,259316565,3956,0
75358,1,651814,9,-425357,-7,11312118,172,-39871756,-609,259441037,3958,0
74721,1,1130592,17,-358479,-6,11462309,174,-40050918,-612,259240608,3957,0
-246075,-4,1070780,16,-221035,-4,11477031,175,-40055025,-612,259244351,3955,0
-245913,-4,807973,12,-288089,-5,11665581,178,-40061532,-612,259716755,3962,0
-572184,-9,529240,8,-489997,-8,11660527,173,-39887907,-609,259321105,3956,0
-507538,-8,1127735,17,-493261,-8,11269783,171,-39830701,-608,259385333,3957,0
-246447,-4,1206703,18,-85512,-2,11502174,175,-40043462,-612,259375443,3957,0
-246381,-4,1204387,14,-356786,-6,11208968,171,-40145420,-613,259677663,3962,0
17101,0,734810,11,-152770,-3,11265438,171,-39948970,-610,259225663,3955,0
-114205,-2,865438,13,-221035,-4,11370676,173,-40027524,-611,259610409,3961,0
-246458,-4,1205493,18,-221507,-4,11524512,175,-39938520,-611,259200912,3955,0
-311444,-5,1067911,16,-167579,-3,11346692,173,-39949964,-610,259599016,3961,0
-442127,-7,932040,14,119806,1,11358057,173,-40207076,-614,259559651,3960,0
-380885,-6,1063978,16,-220880,-1,11305394,172,-40083836,-612,259463356,3959,0
-249673,-4,860845,13,-356624,-6,11366510,173,-39867774,-609,259261902,3956,0
-253266,-4,987188,15,-561390,-9,11199558,170,-40123393,-613,259233050,3955,0
-122761,-4,991178,15,-85409,-2,11185199,170,-39990564,-611,259682964,3961,0
-580670,-9,791048,12,188429,2,11255524,171,-40103974,-612,259459617,3959,0
-711698,-11,922434,14,-220027,-4,11282999,172,-40351217,-616,259052623,3955,0
-450052,-7,1055571,16,-424948,-7,11077290,169,-40257600,-615,259216507,3955,0
-581528,-9,1256299,19,-84985,-2,11099505,169,-40136473,-613,259547181,3960,0
-646413,-10,922330,14,-219799,-4,11087314,170,-40062792,-612,259376493,3957,0
-646182,-10,853813,14,-16035,-1,11286214,172,-40064715,-612,259801482,3964,0
-577199,-9,931356,14,52265,0,11064157,168,-39949168,-610,259643791,3961,0
-835506,-13,936115,14,-695445,-11,11163146,170,-40327654,-616,259414390,3958,0
-700811,-11,1010323,15,-150902,-3,11176027,170,-40177089,-614,259459080,3959,0
-504115,-8,946014,14,118336,1,10905451,166,-40307100,-616,259605758,3961,0
-307603,-5,1011854,15,-16275,-1,11083072,169,-40172578,-617,259608317,3961,0
-700370,-11,875037,13,-415037,-7,10937939,166,-40311551,-616,259677182,3962,0
-961856,-15,604709,9,-284570,-5,11224941,171,-40218834,-614,259789054,3964,0
-765505,-12,675699,10,122495,-3,10832460,165,-40478395,-618,259704257,3962,0
-634376,-10,874576,13,-286655,-5,10893219,166,-40458389,-618,259354724,3957,0
-438151,-7,875929,13,-151343,-3,11066989,168,-40295432,-615,259609394,3961,0
-700967,-16,1077474,16,-149997,-3,10912195,166,-40673872,-621,259595574,3960,0
-1096877,-17,668181,10,55336,0,11147325,170,-40631204,-620,259901280,3965,0
-834745,-13,935868,14,-219422,-4,11219075,171,-40761076,-622,259737497,3963,0
-834958,-13,800302,12,-286036,-5,11142783,168,-40605882,-620,259814405,3964,0
-1227468,-19,596565,9,-283961,-5,11058668,168,-40565408,-619,259870237,3965,0
-1031496,-16,800169,12,-285352,-5,10695136,169,-40606152,-620,259842101,3964,0
