X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-255130,-4,1183802,18,-483623,-8,2010147,30,2175022,33,262804118,4010,0
-517245,-8,787878,12,-479705,-8,1794475,27,1988937,30,262636670,4007,0
-1101673,-17,446638,6,-681727,-11,1852682,28,2049124,31,262695829,4008,0
-835743,-13,521706,16,-412897,-7,1936558,29,2229273,34,262526005,4005,0
-702255,-11,1067211,16,-684627,-11,1845203,28,2047389,31,262994140,4012,0
-569853,-9,597897,9,-547908,-9,1650726,25,2085749,31,263002764,4013,0
-177286,-3,868382,13,-345797,-6,2029708,30,2269554,33,262498119,4005,0
-112381,-2,1073503,16,320895,4,1815341,27,2233863,34,262498517,4005,0
-504219,-8,532865,8,-139507,-3,1778967,27,2148017,33,262800034,4010,0
-503597,-8,392345,5,-818930,-7,1985910,30,2297559,35,262748847,4009,0
-373261,-6,671706,10,335491,5,1897576,28,2207103,33,262644996,4007,0
-111205,-2,668574,10,-73359,-7,1945011,29,2294173,35,262626047,4007,0
-446444,-15,452489,6,-2289,-1,1968168,30,2078436,31,262521353,4005,0
-1098574,-17,659094,10,-274201,-12,2105551,32,2032930,31,262552207,4006,0
-964168,-12,1003193,15,-276226,-5,2021117,30,2032727,31,262679596,4008,0
-570477,-9,736652,11,63981,0,1779362,27,2301889,35,262844715,4010,0
-897870,-14,798448,12,-546563,-9,1942094,29,2161783,32,263117742,4014,0
-898245,-14,798022,12,-615008,-10,1837048,29,2207426,33,262899413,4011,0
-635463,-10,400621,6,-274330,-5,2046470,31,2063939,31,263025475,4013,0
-701491,-11,734260,11,-207521,-4,1892477,28,2223792,33,262843762,4010,0
-505168,-8,868628,12,-479487,-8,2037771,31,1954206,29,262945349,4012,0
-898915,-14,1065907,16,-819921,-13,1820059,27,2216607,33,262887675,4011,0
-964754,-15,1134358,17,-277146,-5,2046123,31,2158590,32,262791572,4009,0
-374364,-6,1003561,15,-277594,-5,1840683,28,2207763,36,262626148,4007,0
-639789,-10,726299,11,-81879,-2,1876267,28,2376434,36,262495570,4005,0
-384921,-6,711357,10,-549503,-9,1811907,27,2204264,33,262665671,4007,0
-323800,-5,904832,13,-295968,-5,2020600,30,2069984,31,262581318,4006,0
-525234,-9,1037144,15,-210889,-4,1972364,30,2209096,33,262811339,4010,0
-327236,-5,699215,10,-346372,3,1916280,29,2012116,30,262883270,4011,0
654,-5,973443,14,196370,2,1803088,27,2119138,32,262975458,4012,0
-787134,-13,1034611,15,-481933,-8,2005079,30,2147023,32,262705023,4008,0
-655285,-10,768248,11,-142412,-3,1996883,30,2343779,35,262428038,4006,0
-459249,-8,971548,14,-6913,-1,1890234,28,2089522,31,262939502,4012,0
-655840,-11,706344,10,-277242,-5,2093987,31,2077013,31,262811678,4010,0
-654386,-10,429899,6,-276298,-5,1940785,24,2360064,36,262794788,4009,0
-916690,-14,493645,11,-616512,-10,1807410,27,2323528,35,262563522,4006,0
-721612,-12,1034627,15,-482161,-8,2143232,32,2273257,34,262629959,4007,0
-393473,-7,901872,10,-209937,-4,1891579,28,2102912,32,262613635,4007,0
-720596,-11,634916,9,63169,0,1887018,28,2431315,37,262758789,4009,0
-720686,-11,634269,9,-211093,-4,1602171,24,2298715,35,262838111,4010,0
-196892,-4,971843,14,-7826,-1,1532383,23,2120234,28,262580872,4006,0
-589520,-9,700759,10,-272564,-5,1899760,28,2037222,31,262728469,4008,0
-852271,-14,835227,12,-141051,-3,1859882,28,2089945,31,262629546,4007,0
-852928,-14,1038537,15,-5780,-2,1907363,29,1972289,30,262644601,4007,0
-590477,-10,834362,12,-277942,-5,1742469,26,2156260,32,262850687,4010,0
-721288,-12,966754,14,-549914,-9,1899982,28,2012419,30,262807646,4010,0
-717466,-14,849035,12,-140214,-3,1921054,29,2134127,32,262738687,4009,0
-1037741,-16,924713,14,64276,0,1951939,29,2154894,32,262803919,4010,0
-1033814,-16,993953,15,-548024,-9,1860183,28,2269979,34,262621985,4011,0
-377680,-6,859093,13,-617366,-10,1987932,30,2308887,35,262967573,4012,0
-180842,-3,792421,12,-208053,-4,1775643,27,2319057,35,262654287,4007,0
-836580,-13,792396,12,-479554,-8,1949203,29,2202698,33,263074389,4014,0
-640076,-10,991597,15,130730,1,1993939,30,2244307,34,262820200,4010,0
-509446,-8,998914,15,-5477,-1,1891616,28,2244453,34,262943860,4012,0
-443060,-7,791639,11,-413154,-7,2095020,31,2260181,34,262843884,4010,0
-246638,-4,860906,13,-413854,-7,1857469,28,1875034,28,262718943,4008,0
-377722,-6,861425,13,-72584,-2,2037408,31,2020100,30,262791072,4009,0
-777886,-12,446515,6,64713,0,1715568,26,2371743,34,262944533,4012,0
-782146,-12,573107,8,-203122,-4,1819531,27,2085992,31,262828166,4010,0
-717063,-11,579089,8,-207945,-4,1864445,28,2216316,33,262749704,4009,0
-516053,-8,646077,9,-276854,-7,1783448,27,2241472,34,262701815,4008,0
-583034,-12,1317509,20,-550259,-9,1908623,29,2089539,31,262944956,4012,0
-779131,-12,979359,14,-685058,-11,1948573,29,2192342,33,262609691,4007,0
-516883,-8,916380,13,-210265,-4,1807685,27,2290518,34,262646409,4009,0
-319561,-5,715390,10,-73807,-2,1872592,28,2118743,32,262728643,4008,0
-188403,-3,984474,15,-142968,-3,1787550,27,2237273,34,262729597,4008,0
-319741,-5,783379,11,-6054,-1,1912107,30,2224120,33,262760705,4009,0
-319011,-5,904282,13,-345477,-6,1819017,27,2086787,31,262601266,4006,0
-447487,-7,925350,14,62223,0,1633542,24,2044921,31,262919032,4011,0
-512851,-8,857295,11,-72592,-2,1958341,29,2153306,32,263209372,4016,0
-643288,-10,587570,8,-3902,-1,2017380,30,1974895,30,262986157,4012,0
-511948,-8,584874,8,-617884,-10,1631512,24,2285117,34,263143437,4015,0
11995,0,852670,13,-619032,-10,1767698,26,2089529,31,262640828,4007,0
-315891,-5,852372,13,-683428,-11,1955776,29,2013315,30,262505094,4005,0
-970793,-15,449122,6,-410226,-7,1793894,27,1944698,29,262744692,4009,0
-643536,-10,656109,10,131840,-3,1759837,26,2281753,34,262841052,4010,0
-512999,-8,1123427,17,-414183,-7,1655209,25,2351258,35,262750410,4009,0
-382312,-6,1187570,18,-822812,-13,2020886,30,2151692,32,262505767,4005,0
-185207,-1,792060,12,197305,3,1778743,27,2226023,33,262471061,4010,0
-53882,-1,858297,13,61090,0,1890555,28,1980858,30,262512859,4005,0
-247160,-4,1061942,16,-550313,-9,1980463,30,1910307,29,262758598,4009,0
-246890,-4,931200,14,-74143,-2,1940518,28,2097700,32,262903117,4011,0
-377358,-6,466021,7,-411305,-7,1638282,24,2004257,30,263014383,4013,0
-508338,-8,722501,11,-820406,-13,1687096,25,2141786,32,263070210,4014,0
-443240,-7,859026,13,-480474,-8,1727110,26,2126841,32,262859907,4010,0
-836886,-13,863229,13,-71854,-2,1735528,26,2019868,30,262803375,4010,0
-705814,-11,865664,13,-481159,-8,1887888,28,1951174,29,262814719,4010,0
-640431,-10,1059926,16,-753140,-12,1759030,26,2037143,34,262757121,4009,0
-640206,-10,863404,13,-203610,-4,1903366,29,1972470,30,262560457,4006,0
-314798,-5,448568,6,-548486,-9,1759321,26,2196422,33,262900897,4011,0
-249308,-4,449740,6,-412736,-1,1731044,26,2118715,32,262860006,4010,0
-511603,-8,586039,8,-208327,-4,1790602,27,2013356,30,262970184,4012,0
-774768,-12,785070,11,-548069,-9,1835411,28,2110998,32,262653038,4007,0
-709573,-7,921887,14,-345713,-6,1896077,28,2229431,34,262804466,4010,0
-578287,-9,853803,13,-413011,-7,1802698,27,2181254,33,262430989,4004,0
-644228,-10,921406,14,-413932,-7,1783270,27,2008322,30,262898950,4007,0
-381276,-6,784922,11,-617428,-10,1759683,26,2246599,34,262467347,4004,0
-447096,-7,1057094,16,-277740,-5,1916898,29,2294073,35,262677785,4008,0
-709648,-11,857660,13,63371,0,2036959,28,2110011,32,262911352,4011,0
-577475,-9,519683,7,-752621,-12,2022142,30,2105054,32,262966329,4012,0
-311339,-5,652984,9,-1092812,-17,1893506,28,2245580,34,262582291,4006,0
-383702,-6,304717,5,-343899,-6,2133978,32,1991498,30,262731203,4008,0
-647283,-10,712817,10,-344623,-6,2121517,32,2123085,32,262891558,4011,0
-517168,-8,1051612,16,-143219,-3,1957340,29,2129985,32,262919282,4011,0
-516987,-8,983645,15,-210045,-4,2028908,30,2094339,31,262644303,4007,0
-648194,-10,984651,15,-466826,-8,1920065,29,2200939,33,262518407,4005,0
-384358,-6,509186,7,-548795,-9,1867773,28,2180371,33,262677180,4008,0
-515658,-8,511891,7,-208393,-3,2046467,31,2309504,35,262800912,4010,0
-516498,-8,983649,15,-210045,-4,1871804,28,2249989,34,262765163,4009,0
