TIMESTAMP_MS,X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TEMP_OUT,TIME_STAMP,DATA_CNTR,X_DELTANG_LOW,X_DELTANG_OUT,Y_DELTANG_LOW,Y_DELTANG_OUT,Z_DELTANG_LOW,Z_DELTANG_OUT,X_DELTVEL_LOW,X_DELTVEL_OUT,Y_DELTVEL_LOW,Y_DELTVEL_OUT,Z_DELTVEL_LOW,Z_DELTVEL_OUT,XG_BIAS_LOW,XG_BIAS_HIGH,YG_BIAS_LOW,YG_BIAS_HIGH,ZG_BIAS_LOW,ZG_BIAS_HIGH,XA_BIAS_LOW,XA_BIAS_HIGH,YA_BIAS_LOW,YA_BIAS_HIGH,ZA_BIAS_LOW,ZA_BIAS_HIGH,FILT_CTRL,RANG_MDL,MSC_CTRL,UP_SCALE,DEC_RATE,FIRM_REV,FIRM_DM,FIRM_Y,PROD_ID
65,-404212,-7,1155939,17,-471018,-8,266745,4,2054038,31,263049946,4009,254,0,25923,-155,-1,523,0,-326,-1,57,0,897,0,105604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
194,-408479,-7,813008,12,-402138,-7,294788,4,2156499,32,262879773,4011,253,0,26181,-213,-1,386,0,-171,-1,83,0,896,0,105539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
197,-276264,-5,882823,13,-130826,-2,104353,1,2154041,32,262855950,4010,253,0,26187,-176,-1,559,0,-249,-1,80,0,823,0,105557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
299,54392,0,1360068,20,-268860,-5,177050,2,2129184,32,262657197,4007,253,0,26391,-82,-1,735,0,-173,-1,79,0,881,0,105445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
318,-276168,-5,879948,13,-470832,-8,103391,1,2126569,32,262347553,4003,253,0,26428,-176,-1,501,0,-152,-1,55,0,782,0,105488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
399,-481772,-8,1405910,21,-404644,-7,177738,2,1992997,30,262609836,4007,249,0,26591,-294,-1,760,0,-37,-1,2,0,827,0,105530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
478,-341577,-6,879345,13,-538605,-9,181046,2,1777155,27,263068356,4014,253,0,26747,-194,-1,621,0,-210,-1,78,0,733,0,105677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
543,-585011,-9,914185,13,-332172,-6,285988,4,1846670,28,262881068,4011,255,0,26877,-259,-1,501,0,-132,-1,110,0,745,0,105598,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
593,-480979,-8,1208764,18,-607181,-10,252395,3,1635203,24,262841132,4010,253,0,26978,-328,-1,687,0,-346,-1,138,0,697,0,105596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
642,-138335,-3,1099500,16,4618,-2,201442,3,2030683,30,262811360,4010,253,0,27075,-98,-1,489,0,-171,-1,128,0,781,0,105587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,193,2000,0,263,771,8225,16505
